ダウンロードした時刻：2022/09/12 23:46:53

,大垣,大垣,大垣
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2012/1/1,3.9,8,1
2012/1/2,4.9,8,1
2012/1/3,4.4,8,1
2012/1/4,3.7,8,1
2012/1/5,2.6,8,1
2012/1/6,3.5,8,1
2012/1/7,3.6,8,1
2012/1/8,3.4,8,1
2012/1/9,3.9,8,1
2012/1/10,5.3,8,1
2012/1/11,5.1,8,1
2012/1/12,2.7,8,1
2012/1/13,3.8,8,1
2012/1/14,4.4,8,1
2012/1/15,4.6,8,1
2012/1/16,3.9,8,1
2012/1/17,4.5,8,1
2012/1/18,3.8,8,1
2012/1/19,4.1,8,1
2012/1/20,6.8,8,1
2012/1/21,7.0,8,1
2012/1/22,7.5,8,1
2012/1/23,6.4,8,1
2012/1/24,2.8,8,1
2012/1/25,2.6,8,1
2012/1/26,0.6,8,1
2012/1/27,1.9,8,1
2012/1/28,2.5,8,1
2012/1/29,1.9,8,1
2012/1/30,2.0,8,1
2012/1/31,1.1,8,1
2012/2/1,0.5,8,1
2012/2/2,-1.3,8,1
2012/2/3,-2.6,8,1
2012/2/4,0.9,8,1
2012/2/5,3.9,8,1
2012/2/6,4.0,8,1
2012/2/7,7.2,8,1
2012/2/8,2.2,8,1
2012/2/9,0.6,8,1
2012/2/10,2.8,8,1
2012/2/11,3.1,8,1
2012/2/12,3.4,8,1
2012/2/13,2.5,8,1
2012/2/14,4.7,8,1
2012/2/15,4.2,8,1
2012/2/16,4.0,8,1
2012/2/17,2.9,8,1
2012/2/18,0.8,8,1
2012/2/19,1.1,8,1
2012/2/20,3.8,8,1
2012/2/21,4.8,8,1
2012/2/22,8.5,8,1
2012/2/23,9.3,8,1
2012/2/24,9.2,8,1
2012/2/25,7.6,8,1
2012/2/26,4.7,8,1
2012/2/27,2.4,8,1
2012/2/28,4.3,8,1
2012/2/29,7.2,8,1
2012/3/1,9.7,8,1
2012/3/2,8.2,8,1
2012/3/3,8.6,8,1
2012/3/4,5.7,8,1
2012/3/5,9.9,8,1
2012/3/6,13.1,8,1
2012/3/7,10.5,8,1
2012/3/8,9.7,8,1
2012/3/9,7.5,8,1
2012/3/10,8.1,8,1
2012/3/11,5.9,8,1
2012/3/12,1.9,8,1
2012/3/13,3.1,8,1
2012/3/14,4.4,8,1
2012/3/15,5.4,8,1
2012/3/16,7.0,8,1
2012/3/17,9.5,8,1
2012/3/18,11.8,8,1
2012/3/19,6.7,8,1
2012/3/20,6.7,8,1
2012/3/21,6.3,8,1
2012/3/22,8.1,8,1
2012/3/23,8.1,8,1
2012/3/24,9.2,8,1
2012/3/25,4.7,8,1
2012/3/26,4.7,8,1
2012/3/27,7.9,8,1
2012/3/28,8.1,8,1
2012/3/29,10.5,8,1
2012/3/30,11.9,8,1
2012/3/31,9.3,8,1
2012/4/1,5.9,8,1
2012/4/2,9.7,8,1
2012/4/3,10.5,8,1
2012/4/4,5.8,8,1
2012/4/5,8.3,8,1
2012/4/6,7.1,8,1
2012/4/7,5.8,8,1
2012/4/8,8.2,8,1
2012/4/9,12.4,8,1
2012/4/10,15.3,8,1
2012/4/11,12.6,8,1
2012/4/12,15.8,8,1
2012/4/13,15.0,8,1
2012/4/14,12.6,8,1
2012/4/15,13.5,8,1
2012/4/16,14.2,8,1
2012/4/17,13.8,8,1
2012/4/18,15.4,8,1
2012/4/19,16.4,8,1
2012/4/20,14.8,8,1
2012/4/21,15.8,8,1
2012/4/22,12.4,8,1
2012/4/23,16.4,8,1
2012/4/24,18.9,8,1
2012/4/25,19.2,8,1
2012/4/26,15.8,8,1
2012/4/27,17.0,8,1
2012/4/28,19.2,8,1
2012/4/29,20.3,8,1
