epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75322,0.96321,2.29139,0.01334,0.89665,0.65566,0.90384,0.66686,1.58082,0.9661,0.01154,0,0,0
2,5.46016,1.16853,2.44313,0.01394,0.89648,0.65805,0.90211,0.66656,1.57936,0.96655,0.01151,1.17822e-06,1.17822e-06,1.17822e-06
3,7.98978,0.98365,2.76527,0.02107,0.87835,0.66743,0.90205,0.66443,1.57681,0.96901,0.01147,2.33288e-06,2.33288e-06,2.33288e-06
4,10.6324,1.41436,2.2289,0.02985,0.87545,0.67608,0.90564,0.66574,1.57714,0.96823,0.01144,3.46397e-06,3.46397e-06,3.46397e-06
5,13.2134,1.34414,2.99406,0.02151,0.88175,0.67684,0.90567,0.66715,1.52097,1.05257,0.01101,4.5715e-06,4.5715e-06,4.5715e-06
6,15.7768,1.1032,2.01696,0.01418,0.84443,0.67131,0.90208,0.6666,1.51279,1.08276,0.01091,5.65548e-06,5.65548e-06,5.65548e-06
7,18.1946,1.28159,2.80498,0.01222,0.86167,0.67737,0.90604,0.66052,1.55749,1.05337,0.01138,6.71588e-06,6.71588e-06,6.71588e-06
8,20.5916,1.01363,2.21505,0.01029,0.86573,0.67784,0.90208,0.66355,1.55786,1.05632,0.01133,7.75273e-06,7.75273e-06,7.75273e-06
9,22.9397,1.18652,3.2683,0.01688,0.85339,0.68159,0.902,0.68014,1.55335,1.05841,0.01128,8.76602e-06,8.76602e-06,8.76602e-06
10,25.4814,1.08721,2.34908,0.0103,0.84377,0.68539,0.89904,0.67756,1.54938,1.06245,0.01122,9.75574e-06,9.75574e-06,9.75574e-06
11,28.3604,1.17646,2.73198,0.01453,0.966,0.61994,0.89701,0.674,1.55522,1.09796,0.01129,1.07219e-05,1.07219e-05,1.07219e-05
12,31.0845,0.94496,2.14041,0.01074,0.83548,0.68705,0.89658,0.67487,1.54809,1.07022,0.01116,1.16645e-05,1.16645e-05,1.16645e-05
13,33.4826,0.99194,1.99527,0.01592,0.83689,0.687,0.89474,0.67175,1.54337,1.07954,0.01109,1.25835e-05,1.25835e-05,1.25835e-05
14,36.01,1.17669,2.20439,0.01464,0.97019,0.61882,0.89326,0.67092,1.52724,1.09917,0.01088,1.3479e-05,1.3479e-05,1.3479e-05
15,38.6584,1.03752,1.85075,0.01299,0.8344,0.68484,0.89473,0.66548,1.52391,1.09244,0.01079,1.43509e-05,1.43509e-05,1.43509e-05
16,41.5934,1.07801,2.50812,0.02331,0.84001,0.68629,0.88687,0.66982,1.51734,1.0859,0.01064,1.51993e-05,1.51993e-05,1.51993e-05
17,44.0414,1.09057,2.40649,0.01493,0.83762,0.68637,0.8879,0.68536,1.51776,1.08977,0.01057,1.60241e-05,1.60241e-05,1.60241e-05
18,46.4519,1.2137,2.20004,0.01607,0.83762,0.68637,0.8879,0.68536,1.51776,1.08977,0.01057,1.68253e-05,1.68253e-05,1.68253e-05
19,49.1724,1.09332,1.8959,0.01188,0.83884,0.6859,0.88721,0.68414,1.51207,1.10998,0.01036,1.7603e-05,1.7603e-05,1.7603e-05
20,51.5445,1.07667,1.86594,0.0161,0.83884,0.6859,0.88721,0.68414,1.51207,1.10998,0.01036,1.83571e-05,1.83571e-05,1.83571e-05
21,54.1265,1.24105,2.86943,0.02282,0.85302,0.6861,0.88694,0.68396,1.50941,1.12634,0.01026,1.90876e-05,1.90876e-05,1.90876e-05
22,56.8898,0.94529,1.894,0.01569,0.85302,0.6861,0.88694,0.68396,1.50941,1.12634,0.01026,1.97946e-05,1.97946e-05,1.97946e-05
23,59.784,1.53606,2.32558,0.01764,0.84023,0.68556,0.88667,0.68245,1.50782,1.13169,0.01023,2.0478e-05,2.0478e-05,2.0478e-05
24,62.5115,1.20108,1.89094,0.0146,0.84023,0.68556,0.88667,0.68245,1.50782,1.13169,0.01023,2.11379e-05,2.11379e-05,2.11379e-05
25,65.3502,1.00034,2.54715,0.01503,0.95407,0.62888,0.88746,0.68248,1.51181,1.1448,0.01027,2.17741e-05,2.17741e-05,2.17741e-05
26,68.0625,1.05323,2.05508,0.0169,0.95407,0.62888,0.88746,0.68248,1.51181,1.1448,0.01027,2.23869e-05,2.23869e-05,2.23869e-05
27,70.5451,1.20075,1.87143,0.01356,0.91586,0.64069,0.88744,0.70004,1.51247,1.15878,0.01028,2.2976e-05,2.2976e-05,2.2976e-05
28,73.1338,1.09859,1.98696,0.01564,0.91586,0.64069,0.88744,0.70004,1.51247,1.15878,0.01028,2.35417e-05,2.35417e-05,2.35417e-05
29,75.6468,1.57364,1.92478,0.01647,0.89591,0.65406,0.87392,0.69408,1.5113,1.20997,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,78.1064,0.91195,1.88069,0.01149,0.89591,0.65406,0.87392,0.69408,1.5113,1.20997,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,80.6643,0.98183,1.85525,0.0118,0.74341,0.67353,0.83756,0.68314,1.51393,1.23736,0.01015,2.50971e-05,2.50971e-05,2.50971e-05
32,83.4028,1.08129,2.05053,0.01049,0.74341,0.67353,0.83756,0.68314,1.51393,1.23736,0.01015,2.55685e-05,2.55685e-05,2.55685e-05
33,86.0214,1.14581,2.18711,0.01637,0.73742,0.67822,0.83643,0.68337,1.53289,1.21666,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,88.7554,0.97148,1.35706,0.02016,0.73742,0.67822,0.83643,0.68337,1.53289,1.21666,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,91.5341,1.08929,1.82641,0.01187,0.70623,0.67605,0.83642,0.67477,1.55093,1.2471,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,94.0002,0.98444,1.60265,0.01259,0.70623,0.67605,0.83642,0.67477,1.55093,1.2471,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,96.3878,1.03641,2.36755,0.02223,0.70094,0.67682,0.80864,0.66038,1.56373,1.27415,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,98.6749,1.24515,1.79704,0.01568,0.70094,0.67682,0.80864,0.66038,1.56373,1.27415,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
39,100.963,1.13358,2.65635,0.01874,0.66187,0.66667,0.80489,0.657,1.62267,1.19435,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
