epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8414,0.68248,5.7525,0.01221,0.00333,1,0.39704,0.30344,0.32234,11.06,0.00796,8e-05,8e-05,8e-05
2,88.6965,0.68025,5.5269,0.01281,0.00333,1,0.36694,0.29793,0.36856,11.0285,0.00927,0.00017406,0.00017406,0.00017406
3,129.9,0.66695,5.275,0.01311,0.00333,1,0.4421,0.35223,0.36553,10.8806,0.00906,0.00026152,0.00026152,0.00026152
4,173.402,0.67169,5.01904,0.01352,0.00333,1,0.44443,0.32238,0.40006,10.8236,0.01009,0.00034238,0.00034238,0.00034238
5,222.229,0.73635,4.35557,0.0131,0.00333,1,0.5286,0.39335,0.43755,10.7301,0.01107,0.00041664,0.00041664,0.00041664
6,270.259,0.75495,4.57676,0.01413,0.00333,1,0.46688,0.39385,0.39778,10.5772,0.01006,0.0004843,0.0004843,0.0004843
7,317.548,0.73472,4.23657,0.01392,0.00333,1,0.64732,0.50489,0.48184,10.5078,0.01227,0.00054536,0.00054536,0.00054536
8,361.079,0.77858,3.9732,0.01551,0.00333,1,0.79759,0.60803,0.63694,10.6492,0.01626,0.00059982,0.00059982,0.00059982
9,406.628,0.82703,3.72639,0.01516,0.00333,1,0.78039,0.65738,0.60052,10.331,0.01504,0.00064768,0.00064768,0.00064768
10,457.15,0.79708,3.43092,0.01546,0.00333,1,0.67756,0.52988,0.69256,10.3931,0.01844,0.00068894,0.00068894,0.00068894
11,506.506,0.78164,3.50885,0.01549,0.92981,0.2,0.61745,0.44844,0.71611,10.2558,0.01826,0.0007236,0.0007236,0.0007236
12,553.773,0.77438,3.68369,0.01624,0.75822,0.41973,0.70961,0.53167,0.73929,9.78146,0.01972,0.00075166,0.00075166,0.00075166
13,601.503,0.79605,3.2465,0.01557,0.68093,0.7123,0.79237,0.58723,0.94539,9.64944,0.02758,0.00077312,0.00077312,0.00077312
14,651.24,0.8033,3.39345,0.01715,0.77039,0.73333,0.8609,0.68345,0.88603,9.05119,0.0231,0.00078798,0.00078798,0.00078798
15,702.957,0.80338,2.99078,0.01601,0.85053,0.75988,0.85786,0.6835,0.82547,8.73011,0.02221,0.00079624,0.00079624,0.00079624
16,763.792,0.7837,3.20264,0.01698,0.9257,0.83186,0.88501,0.72919,0.72461,8.39135,0.01925,0.0007979,0.0007979,0.0007979
17,821.864,0.774,2.91152,0.01422,0.91268,0.8,0.88294,0.70103,0.87531,8.16182,0.02466,0.00079296,0.00079296,0.00079296
18,877.785,0.80687,2.82901,0.01712,0.92475,0.82033,0.89533,0.7338,0.73577,7.79742,0.01934,0.00078142,0.00078142,0.00078142
19,934.908,0.69395,3.11993,0.01524,0.84644,0.73505,0.87063,0.74112,0.70043,7.52845,0.01818,0.00076328,0.00076328,0.00076328
20,988.563,0.76899,3.00346,0.01547,0.93762,0.8,0.919,0.80244,0.66242,7.12339,0.01714,0.00073854,0.00073854,0.00073854
21,1044.24,0.71273,5.50398,0.02074,0.86394,0.84756,0.91535,0.75039,0.82226,7.15443,0.02336,0.00068,0.00068,0.00068
22,1097.23,0.65467,5.30007,0.01772,0.85972,0.8,0.88399,0.66525,0.96628,7.26884,0.02786,0.000614,0.000614,0.000614
23,1146.55,0.77657,5.37363,0.0232,0.80799,0.86667,0.88736,0.66506,0.9977,7.20673,0.02866,0.000548,0.000548,0.000548
24,1191.21,0.70525,5.1872,0.02,0.87411,0.93333,0.89294,0.70779,0.80349,6.84324,0.02096,0.000482,0.000482,0.000482
25,1236.84,0.59255,4.98311,0.0158,0.92434,0.81534,0.88604,0.71688,0.7282,6.61895,0.0189,0.000416,0.000416,0.000416
26,1286.57,0.6789,5.04709,0.01696,0.92203,0.7891,0.89677,0.74619,0.67492,6.39297,0.01776,0.00035,0.00035,0.00035
27,1335.33,0.57052,4.81326,0.01611,0.92676,0.66667,0.89685,0.75657,0.72432,6.12758,0.01877,0.000284,0.000284,0.000284
28,1394.08,0.6357,4.85265,0.01707,1,0.64768,0.89518,0.76545,0.6554,5.85887,0.01765,0.000218,0.000218,0.000218
29,1451.61,0.64883,4.79316,0.01871,1,0.65597,0.90606,0.78912,0.72462,5.71733,0.01906,0.000152,0.000152,0.000152
30,1501.82,0.6243,4.72213,0.01622,0.77899,0.8,0.89633,0.78738,0.69935,5.64,0.01833,8.6e-05,8.6e-05,8.6e-05
